IAM Acronym,Bank Acronym,IAM id,Year Filed,Case Name,Global Region (1),Global Region (2),Country,External ID,Date Filed,Month Closed,Year Closed,Still open as of 12/31/15?,Status as of 12/31/15,Results achieved by 12/31/15?,Type of Filer (1),Type of Filer (2),Type of Filer (3),Filer Name(s) if organization,Other groups supporting complaint?,Type of Supporting Organization(s) (1),Type of Supporting Organization(s) (2),Name of supporting organization(s),Type of IFI Support (1),Type of IFI Support (2),Sector/Industry (1),Sector/Industry (2),Public or private?,Issue Raised (1),Issue Raised (2),Issue Raised (3),Issue Raised (4),Issue Raised (5),Issue Raised (6),Issue Raised (7),Issue Raised (8),Issue Raised (9),Issue Raised (10),Is Registered,Date Registered,Is Eligible,Date determined eligible,If no Eligibility why 1,If no Eligibility why 2,If no Eligibility why 3,If no Eligibility why 4,Problem-Solving initiated,Date PS initiated,Duration of PS (months),If no Dispute Resolution why,Settlement reached in PS?,Compliance Review initiated,Date CR initiated,Duration of CR (months),If no Compliance Review why,Was non-compliance found?,Was a management action plan produced?,Monitoring initiated,Date monitoring initiated,Duration of monitoring (months),If no Monitoring why,Duration from filing until case closed or monitoring started,"If closed as of 12/31/15, duration of process in months",Was a compliance report published,Who inputted data?
SPF CRP,ADB,25,2007,Urban and Environmental Improvement Project,South Asia,N/A,Nepal,1/2007*,1/11/07,3,2007,No,Closed without results,No,Local community-based organization(s),Individual(s),N/A,Barhaghare Locality Development Institution,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Community capacity and development,Public,Other community health and safety issues,Other environmental,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,2/8/07,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
SPF CRP,ADB,25,2007,Phnom Penh to Ho Chi Minh City Highway Project,East Asia & the Pacific,N/A,Cambodia,2/2007*,7/30/07,6,2010,No,Closed with results outside process,No,Individual(s),N/A,N/A,N/A,Yes,International CSO(s),N/A,Oxfam Australia,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8/6/07,Yes,9/19/07,N/A,N/A,N/A,N/A,No,N/A,N/A,Matter resolved outside mech,N/A,No,N/A,N/A,Matter resolved outside of mechanism,N/A,N/A,No,N/A,N/A,Case closed before monitoring,35,35,N/A,
SPF CRP,ADB,25,2009,Fuzhou Environmental Improvement Project,East Asia & the Pacific,N/A,China,1/2009*,1/15/09,2,2010,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Conservation and environmental protection,Public,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/19/09,Yes,2/12/09,N/A,N/A,N/A,N/A,Yes,3/23/09,12,N/A,Yes,Yes,7/15/09,15,N/A,N/A,N/A,No,N/A,N/A,Case closed before monitoring,21,21,No,
SPF CRP,ADB,25,2009,Himachal Pradesh Clean Energy Development Investment Program,South Asia,N/A,India,2/2009*,1/30/09,2,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Paryavaran Avam Kalyan Sansthan,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Energy,N/A,Public,Livelihoods,Due diligence,Other environmental,Pollution,Biodiversity,N/A,N/A,N/A,N/A,N/A,Yes,2/2/09,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2009,Southern Punjab Basic Urban Services Project,South Asia,N/A,Pakistan,3/2009*,2/27/09,5,2012,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Livelihoods,Consultation and disclosure,Pollution,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4/30/09,Yes,5/25/09,N/A,N/A,N/A,N/A,Yes,2/7/09,34,N/A,Yes,No,N/A,N/A,Complainant did not refile,N/A,N/A,No,N/A,N/A,Monitoring not contemplated,39,39,N/A,
SPF CRP,ADB,25,2009,North-West Frontier Province Road Development Sector and Subregional Connectivity,South Asia,N/A,Pakistan,4/2009*,4/9/09,4,2009,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4/30/09,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2009,National Trade Corridor Highway Investment Program,South Asia,N/A,Pakistan,5/2009*,4/24/09,5,2009,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4/24/09,No,N/A,Management is addressing or has addressed concerns,Mechanism deemed involvement unneccessary/inapproprate,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2009,Rawalpindi Environmental Improvement Project (Sewage Treatment Plant Component),South Asia,N/A,Pakistan,6/2009*,5/28/09,11,2010,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Livelihoods,Pollution,Water,Other community health and safety issues,Other environmental,Due diligence,N/A,N/A,N/A,Yes,6/4/09,Yes,6/18/09,N/A,N/A,N/A,N/A,Yes,8/1/09,15,N/A,No,No,N/A,N/A,Complainant did not refile,N/A,N/A,No,N/A,N/A,Case closed before monitoring,18,18,N/A,
SPF CRP,ADB,25,2009,National Trade Corridor Highway Investment Program,South Asia,N/A,Pakistan,7/2009*,7/1/09,7,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Farmer Welfare and Development Organization (FWDO),Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,7/1/11,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2009,Rawalpindi Environmental Improvement Project (Water Supply Component),South Asia,N/A,Pakistan,8/2009*,8/13/09,8,2009,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8/13/09,No,N/A,Not filed by project affected people,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2009,East-West Highway Improvement Project,Europe & Central Asia,N/A,Azerbaijan,9/2009*,9/2/09,10,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Public Association for Assistance to Free Economy (PAAFE,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/3/09,No,N/A,Not filed by project affected people,Good faith requirement not met,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2009,Multitranche Financing Facility Road Network Development Program,Europe & Central Asia,N/A,Azerbaijan,10/2009*,9/3/09,10,2009,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Oil Workers' Rights Protection Organization,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Consultation and disclosure,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/4/09,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2009,National Highways Sector Project,South Asia,N/A,Sri Lanka,11/2009*,9/16/09,11,2009,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Yes,Domestic CSO(s),N/A,Centre for Environmental Justice,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,10/5/09,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
SPF CRP,ADB,25,2009,CAREC Transport Corridor I Investment Program,Europe & Central Asia,N/A,Kazakhstan,12/2009*,11/5/09,9,2012,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,"Taraz Press Club Union, DYUK Public Union",Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Consultation and disclosure,Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/10/09,Yes,12/3/09,N/A,N/A,N/A,N/A,Yes,8/2/10,1,N/A,Yes,No,N/A,N/A,Complainant did not refile,N/A,N/A,Yes,3/2/10,30,N/A,4,34,N/A,
SPF CRP,ADB,25,2009,Integrated Citarum Water Resources Management Investment Program,East Asia & the Pacific,N/A,Indonesia,13/2009*,12/8/09,1,2010,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Unknown,Yes,International CSO(s),Domestic CSO(s),NGO Forum on ADB; People_„_s Coalition for the Right to Water (KRuHA/Koalisi Rakyat untuk Hak atas Air); debtWATCH Indonesia,Project/investment lending,N/A,Infrastructure,Conservation and environmental protection,Public,Displacement (physical and/or economic),Consultation and disclosure,Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,12/11/09,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2010,CAREC Transport Corridor I Investment Program,Europe & Central Asia,N/A,Kazakhstan,1/2010*,6/4/10,7,2010,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,6/14/10,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2010,Education Sector Reform Project,Europe & Central Asia,N/A,Tajikistan,2/2010*,8/5/10,10,2011,No,Closed with results,Yes,Domestic CSO(s),International CSO(s),N/A,"Kalam, Tarakiet, NGO Forum on ADB",Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Education,Infrastructure,Public,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,8/5/10,Yes,9/1/10,N/A,N/A,N/A,N/A,Yes,11/1/10,11,N/A,Yes,No,N/A,N/A,Complainant did not refile,N/A,N/A,Yes,Unknown,Unknown,N/A,Unknown,14,N/A,
SPF CRP,ADB,25,2010,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,Europe & Central Asia,N/A,Kyrgyz Republic,2011/2,9/7/10,8,2012,No,Closed with results,Yes,Individual(s),N/A,N/A,N/A,Yes,International CSO(s),N/A,NGO Forum on ADB,Project/investment lending,N/A,Infrastructure,N/A,Public,Livelihoods,Displacement (physical and/or economic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/22/10,Yes,11/12/10,N/A,N/A,N/A,N/A,Yes,12/14/10,11,N/A,Yes,Yes,7/20/11,13,N/A,Yes,No,No,N/A,N/A,Board deemed monitoring unnecessary,21,21,Yes,
SPF CRP,ADB,25,2010,Power Sector Development Program,East Asia & the Pacific,N/A,Philippines,3/2010*,9/14/10,9,2010,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Lanao Power Consumers Federation,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Energy,N/A,Public,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/21/10,No,N/A,Project Completion Report issued,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2010,Regional Economic Integration in Central Asia _„_ Stocktaking and Experience Sharing,Europe & Central Asia,N/A,Kyrgyz Republic,5/2010*,9/27/10,9,2010,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Advisory services,N/A,Other,N/A,Public,Other,Procurement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/29/10,No,N/A,Raised procurement issues,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2010,Southern Agriculture Area Development Project,Europe & Central Asia,N/A,Kyrgyz Republic,6/2010*,9/28/10,10,2010,No,Closed without results,No,Domestic CSO(s),International CSO(s),Individual(s),"NGO Forum on ADB, Interbilim",Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Agribusiness,N/A,Public,Consultation and disclosure,Other retaliation (actual or feared),Water,Human rights,N/A,N/A,N/A,N/A,N/A,N/A,Yes,10/5/10,No,N/A,No direct harm,Project not implemented,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2010,Sustainable Urban Transport Investment Program,Europe & Central Asia,N/A,Georgia,7/2010*,10/27/10,11,2010,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Guram Tikanadze_„_s Youth Center of Svaneti,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/5/10,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2011,Integrated Citarum Water Resources Management Investment Program,East Asia & the Pacific,N/A,Indonesia,1/2011*,1/4/11,12,2015,No,Closed with results,Yes,Domestic CSO(s),N/A,N/A,People_„_s Alliance on Citarum (Aliansi Rakyat untuk Citarum [ARUM]),Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Conservation and environmental protection,Public,Displacement (physical and/or economic),Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/10/11,Yes,2/2/11,N/A,N/A,N/A,N/A,Yes,3/23/11,11,N/A,No,Yes,3/21/12,13,N/A,Yes,Yes,Yes,4/10/13,32,N/A,27,59,Yes,
SPF CRP,ADB,25,2011,North Eastern Region Capital Cities Development Investment Program,South Asia,N/A,India,2/2011*,1/4/11,1,2011,No,Closed without results,No,Domestic CSO(s),N/A,N/A,Civil Society Women_„_s Organization,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Indigenous peoples,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/10/11,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2011,Visayas Base-Load Power Project,East Asia & the Pacific,N/A,Philippines,3/2011*,2/28/11,N/A,N/A,Yes,In monitoring,Yes,Domestic CSO(s),Individual(s),N/A,Freedom from Debt Coalition-Cebu,Yes,International CSO(s),N/A,NGO Forum on ADB,Project/investment lending,N/A,Energy,N/A,Private,Consultation and disclosure,Other community health and safety issues,Due diligence,Pollution,Other environmental,N/A,N/A,N/A,N/A,N/A,Yes,3/1/11,Yes,3/17/11,N/A,N/A,N/A,N/A,No,N/A,N/A,Complainant chose not to have PS,N/A,Yes,7/11/11,9,N/A,Yes,Yes,Yes,4/11/12,N/A,N/A,14,N/A,Yes,
SPF CRP,ADB,25,2011,Proposed MFF National Trade Corridor Highway Investment Program - Hasanabdal-Havelian Section (Project 2),South Asia,N/A,Pakistan,4/2011*,10/6/11,10,2011,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Consultation and disclosure,Other environmental,Due diligence,Human rights,N/A,N/A,N/A,N/A,N/A,Yes,10/11/11,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2011,Kerala Sustainable Urban Development Project,South Asia,N/A,India,1,10/17/11,10,2011,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Other environmental,Other community health and safety issues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,10/18/11,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
