Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed,Access to electricity (% of population),Agricultural land (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Renewable internal freshwater resources per capita (cubic meters),GDP per capita (current US$),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Literacy rate, adult total (% of people ages 15 and above)",Net ODA received per capita (current US$),Population density (people per sq. km of land area),Rural population (% of total population),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area)
AK Khan WaterHealth-01/Dhaka,AK Khan WaterHealth-01/Dhaka,Bangladesh,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_52,Closed Without Results,,,Other,Other,,FALSE,FALSE,11/1/10,,,not_undertaken,,11/1/10,12/31/10,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/10,55.26,70.99177998,82.40414563,11.07782131,,757.6717572,29.99900055,83.59700012,,9.23173375,1168.849213,69.538,148460,
AREDP/ Kabul,AREDP/ Kabul,Afghanistan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_83,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,7/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13,67.259552,58.06757957,50.96883112,2.067824648,,638.6125432,16.85899925,86.5739975,,162.3783771,48.6041234,75.627,652860,
AUSA Road Safety and Urban Mobility Program,AUSA Road Safety and Urban Mobility Program,Argentina,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-AR-2014-081,Closed Without Results,,Project/investment lending,Infrastructure,Pollution,,FALSE,FALSE,8/19/14,8/19/14,8/26/14,closed_with_outcome,,8/26/14,1/31/15,closed_without_outcome,"Outside of mandate, Issues previously raised",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/15,99.95924377,54.33571212,13.64364654,10.01531047,6793.61814,12245.25645,47.1570015,73.47499847,,1.135139141,15.7056572,8.623,2780400,
AccessBank,AccessBank,Azerbaijan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_72,Closed Without Results,,,Other,Other,,FALSE,FALSE,2/1/13,,,not_undertaken,,2/1/13,2/28/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/13,100,57.70454518,26.5519093,13.14992923,,7875.756953,61.32300186,67.96399689,99.78936005,-7.521662611,113.9234808,45.855,86600,
Aconcagua-01/Santa Barbara,Aconcagua-01/Santa Barbara,Chile,IFC Compliance Advisor/Ombudsman,IFC/MIGA,153,Closed Without Results,,Equity Investment,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Other environmental",,FALSE,FALSE,11/11/09,,,not_undertaken,,11/11/09,12/4/09,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,6/30/10,,21.22571725,,21.7787533,,10243.32824,43.37900162,73.26300049,98.55368042,4.705444185,22.63445554,12.983,756096,
Aden Free Zone Development,Aden Free Zone Development,Yemen,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_10,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/05,,,not_undertaken,,7/1/05,7/31/05,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/05,,,,,,,,,,,,,,
Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_8,Closed Without Results,,Advisory services,Infrastructure,Other,,FALSE,FALSE,9/19/12,9/19/12,9/20/12,closed_with_outcome,,9/20/12,9/30/12,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/12,79.9,60.42062566,66.06940362,23.59311043,1144.833421,1446.98541,26.80900002,79.54399872,,1.33156161,424.8184112,68.366,3287260,
Africa Investco-01,Africa Investco-01,Mauritius,IFC Compliance Advisor/Ombudsman,IFC/MIGA,186,Closed With Results Outside Process,,"Equity Investment, Financial intermediary","Infrastructure, Other","Consultation and disclosure, Labor",,FALSE,FALSE,3/28/12,,,not_undertaken,,3/28/12,4/18/12,closed_with_outcome,,,,not_undertaken,Addressed outside process,,,not_undertaken,Addressed outside process,,,not_undertaken,Case closed in earlier stage,9/30/12,98.63320923,42.85714286,14.14135542,18.95566502,2190.492419,9291.227619,42.94599915,73.54399872,91.76600647,140.6820067,618.6610837,58.668,2040,
African Bank,African Bank,South Africa,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_18,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/05,,,not_undertaken,,12/1/05,1/31/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/06,80.9,80.35924787,35.86153488,7.617736524,,5277.925459,45.92399979,61.75699997,,13.95374484,40.24481778,40.464,1219090,
Africap Investment Fund,Africap Investment Fund,Mozambique,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_53,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/10,,,not_undertaken,,12/1/10,12/31/10,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/10,17.25792313,63.51890943,19.68915761,49.55873751,,419.2258149,84.41400146,78.83699799,,80.22366993,30.80114576,68.17,799380,
Agri-Vie Fund-01/Kiboga,Agri-Vie Fund-01/Kiboga,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,180,Monitoring,,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,FALSE,FALSE,12/20/11,,,not_undertaken,,12/20/11,1/4/12,closed_with_outcome,,4/1/12,5/1/14,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,5/1/14,,in_progress,,,14.6,71.88809096,58.36132798,13.05505685,,574.9195814,66.08000183,76.02700043,,44.82064674,175.0132057,80.102,241550,
Agri-Vie Fund-02/Mubende,Agri-Vie Fund-02/Mubende,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,181,Monitoring,,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,FALSE,FALSE,12/20/11,,,not_undertaken,,12/20/11,1/4/12,closed_with_outcome,,4/1/12,7/1/13,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,7/1/13,,in_progress,,,14.6,71.88809096,58.36132798,13.05505685,,574.9195814,66.08000183,76.02700043,,44.82064674,175.0132057,80.102,241550,
Agricultural Competitiveness Program,Agricultural Competitiveness Program,Jamaica,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-JA-2012-054,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/12,12/1/12,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,93.1,40.99722992,15.6580613,31.05632502,3808.528852,5209.506189,56.31499863,77.13700104,,9.876831755,262.3261311,45.868,10990,
Agrifood Health and Quality Management Program (CCLIP),Agrifood Health and Quality Management Program (CCLIP),Argentina,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,AR-MICI004-2012,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other environmental",,FALSE,FALSE,1/12/12,1/12/12,1/23/12,closed_with_outcome,,1/23/12,4/23/12,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,8/31/12,closed_with_outcome,,8/31/12,99.58441162,54.53814645,14.07585428,10.23221483,6936.404266,12969.70712,48.18799973,74.10299683,,4.222654871,15.38235569,8.879,2780400,
Agrokasa-01/Ica,Agrokasa-01/Ica,Peru,IFC Compliance Advisor/Ombudsman,IFC/MIGA,139,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,TRUE,TRUE,6/2/09,,,not_undertaken,,6/2/09,6/1/09,closed_with_outcome,,12/1/09,11/1/10,closed_with_outcome,,6/1/10,12/1/11,closed_with_outcome,,11/1/10,6/1/13,closed_with_outcome,,6/30/13,86.42432,18.7078125,,58.558125,,4166.093387,70.50900269,86.38400269,,15.09404322,22.65742734,23.759,1285220,
Ak Altin Agricultural Development Project,Ak Altin Agricultural Development Project,Uzbekistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_16,Closed Without Results,,Project/investment lending,Other,Other,,FALSE,FALSE,3/4/13,3/4/13,3/5/13,closed_with_outcome,,3/5/13,3/31/13,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,3/31/13,100,62.92900799,36.98575052,7.621391631,,1907.551233,53.43000031,76.78299713,99.99485779,9.759549254,71.093559,49.05,447400,
Albania Hydros-01/Tirana,Albania Hydros-01/Tirana,Albania,IFC Compliance Advisor/Ombudsman,IFC/MIGA,194,Closed Without Results,,Advisory services,Energy,"Due diligence, Human rights, Other, Other gender-related issues",,FALSE,FALSE,1/14/13,,,not_undertaken,,1/14/13,1/1/13,closed_with_outcome,,,,not_undertaken,Not desired by complainant,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,3/31/14,100,43.33211679,15.6359167,28.2270073,,4413.081697,44.65000153,62.64599991,,93.25437672,105.660292,44.613,28750,
Alex Dev-01/Wadi al-Qamar,Alex Dev-01/Wadi al-Qamar,Egypt,IFC Compliance Advisor/Ombudsman,IFC/MIGA,234,Active,,Equity Investment,Manufacturing,"Consultation and disclosure, Due diligence, Labor, Other community health and safety issues, Pollution",,FALSE,FALSE,4/9/15,,,not_undertaken,,,,,,,,,,5/1/16,,in_progress,,,,,,,,,,,,,,,,,,,,
Alqueria-01/Cajica,Alqueria-01/Cajica,Colombia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,201,Active,,"Equity Investment, Project/investment lending","Agribusiness, Manufacturing","Pollution, Water",,FALSE,FALSE,4/11/13,,,not_undertaken,,4/11/13,4/1/13,closed_with_outcome,,8/1/13,6/1/17,in_progress,,,,,,,,,,,,40.39260928,18.35821222,52.77617846,,8030.58603,58.63100052,83.02799988,,18.1122942,42.67055521,20.939,1141749,
Altain Khuder debt & equity,Altain Khuder debt & equity,Mongolia,EBRD Project Complaint Mechanism,European Bank for Reconstruction and Development,2015/01,Closed With Results,,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",,TRUE,TRUE,12/30/14,12/30/14,1/15/15,closed_with_outcome,,1/15/15,8/28/15,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,8/28/15,4/7/17,closed_with_outcome,,,,,,,80.60873413,72.69529339,22.93980543,8.14264013,11901.92811,4181.583313,53.95399857,66.79299927,,108.386208,1.882061845,31.837,1564120,
Alterra,Alterra,Costa Rica,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_35,Closed Without Results,,,Other,Other,,FALSE,FALSE,5/1/08,,,not_undertaken,,5/1/08,5/31/08,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,5/31/08,,35.11555033,,50.12534273,,6911.136152,46.04800034,79.34999847,,15.66991187,86.75103799,30.61,51100,
Amaggi Expansion-01/IFC Executive Vice President Request,Amaggi Expansion-01/IFC Executive Vice President Request,Brazil,IFC Compliance Advisor/Ombudsman,IFC/MIGA,91,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Other environmental",,FALSE,FALSE,11/1/04,,,not_undertaken,,11/1/04,12/1/04,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,6/30/06,96.765107,32.55891861,,60.97552805,,3623.049912,54.89899826,79.3809967,88.61624146,0.876049317,22.10281929,17.479,8515770,
Ambatovy,Ambatovy,Madagascar,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_64,Closed Without Results,,,Other,Other,,FALSE,FALSE,6/1/12,,,not_undertaken,,6/1/12,7/31/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/12,17.73223686,71.18486752,18.17198277,21.52132624,15080.61214,443.9061001,86.5530014,90.17900085,71.57261658,16.48977675,38.40970273,66.773,587295,
Ambatovy Nickel Project,Ambatovy Nickel Project,Madagascar,EIB Complaints Mechanism,European Investment Bank,SG/E/2012/04,Active,,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Due diligence, Livelihoods, Other community health and safety issues, Pollution",,FALSE,FALSE,5/9/12,5/9/12,,closed_with_outcome,,,5/9/12,closed_with_outcome,,,,,,,,,,,,,,,17.73223686,71.18486752,18.17198277,21.52132624,15080.61214,443.9061001,86.5530014,90.17900085,71.57261658,16.48977675,38.40970273,66.773,587295,
Ambuklao-Binga Hydroelectric Power-01/Binga,Ambuklao-Binga Hydroelectric Power-01/Binga,Philippines,IFC Compliance Advisor/Ombudsman,IFC/MIGA,85,Closed With Results,,Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods",,FALSE,FALSE,6/1/08,,,not_undertaken,,6/1/08,7/1/08,closed_with_outcome,,7/30/08,5/30/09,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,5/1/09,5/1/10,closed_with_outcome,,6/30/10,83.3,40.27903545,,23.25384848,,1919.466208,47.64699936,76.4960022,95.42009735,0.421919708,304.3628266,54.545,300000,
Andhra Pradesh & Telangana Road Sector Project,Andhra Pradesh & Telangana Road Sector Project,India,WB Inspection Panel,World Bank,105,Closed Without Results,,No IFI involvement,Infrastructure,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Livelihoods",,FALSE,FALSE,12/18/15,12/18/15,12/18/15,closed_without_outcome,,,,not_undertaken,,,,,,,,,,,,,,12/18/15,88,60.44719645,75.58285651,23.77311911,,1606.038285,27.2670002,79.09100342,,2.424919101,440.286016,67.223,3287259,
Angel Infin-01/ Gujarat,Angel Infin-01/ Gujarat,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_91,Closed Without Results,,,Other,Other,,FALSE,FALSE,1/1/14,,,not_undertaken,,1/1/14,1/31/14,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/14,81.23950958,60.44719645,71.6126213,23.71311622,1117.586747,1576.004018,27.11700058,79.25800323,,2.312322533,435.1754493,67.616,3287259,
Anima Educacao,Anima Educacao,Brazil,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_54,Closed Without Results,,,Other,Other,,FALSE,FALSE,3/1/11,,,not_undertaken,,3/1/11,4/30/11,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/11,99.328691,32.94668431,11.47912947,59.51970175,,13167.47289,53.13199997,76.79100037,91.41123962,4.132486219,23.77163914,15.369,8515770,
"Anvil Mining Congo, SARL-01/World Bank President Request","Anvil Mining Congo, SARL-01/World Bank President Request",Democratic Republic of Congo,IFC Compliance Advisor/Ombudsman,IFC/MIGA,94,Closed With Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Human rights, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",,TRUE,TRUE,7/1/05,,,not_undertaken,,7/1/05,,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,2/28/06,,,,,,,,,,,,,,
Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,Nepal,WB Inspection Panel,World Bank,1,Closed With Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Other",,TRUE,TRUE,10/24/94,10/24/94,11/3/94,closed_with_outcome,,11/3/94,12/16/94,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,12/16/94,6/16/95,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,6/30/95,3.5338521,29.23496503,,31.12027972,,194.8890676,81.42099762,90.72100067,,21.40303913,145.923986,89.567,147180,
Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_40,Closed Without Results,,Project/investment lending,"Conservation and environmental protection, Infrastructure",Other,,FALSE,FALSE,7/1/15,7/1/15,7/1/15,closed_with_outcome,,7/1/15,9/30/15,closed_without_outcome,Inadequate information,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/15,88,60.44719645,75.58285651,23.77311911,,1606.038285,27.2670002,79.09100342,,2.424919101,440.286016,67.223,3287259,
Assam Power Sector Development Project,Assam Power Sector Development Project,India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,May-06,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Procurement,,FALSE,FALSE,10/31/06,10/31/06,11/2/06,closed_with_outcome,,11/2/06,11/30/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/06,67.9,60.50941918,,22.91316734,,792.0259698,35.0320015,82.56999969,62.75447083,1.1907113,390.8185212,70.431,3287260,
Assan Aluminyum-01/Dilovasi,Assan Aluminyum-01/Dilovasi,Turkey,IFC Compliance Advisor/Ombudsman,IFC/MIGA,81,Closed With Results,,Project/investment lending,Manufacturing,"Labor, Other retaliation (actual or feared)",,FALSE,FALSE,10/1/08,,,not_undertaken,,10/1/08,10/27/08,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,8/31/10,closed_with_outcome,,8/31/10,98.80690002,50.83221808,,14.27517119,,10850.87039,23.98999977,68.92199707,,15.86427445,91.52454036,30.349,785350,
Asturias Waste Management,Asturias Waste Management,Spain,EIB Complaints Mechanism,European Investment Bank,SG/E/2010/12,Closed Without Results,,No IFI involvement,Infrastructure,"Other, Other environmental",,FALSE,FALSE,9/24/10,9/24/10,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Unknown,12/7/10,3/7/11,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,3/31/11,,55.08889822,9.687449661,36.49367013,,30736.62785,51.54399872,67.30599976,97.74890137,,93.15193096,21.558,505600,
Atul Ltd.-01/Gujarat,Atul Ltd.-01/Gujarat,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,97,Closed With Results,,"Equity Investment, Project/investment lending","Chemicals, Manufacturing","Consultation and disclosure, Pollution",,FALSE,FALSE,6/1/06,,,not_undertaken,,6/1/06,,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,6/30/07,closed_with_outcome,,6/30/07,67.9,60.50941918,,22.91316734,,792.0259698,35.0320015,82.56999969,62.75447083,1.1907113,390.8185212,70.431,3287260,
