Bank,IAM,IAM ID,Year,Country,Project Name,Project Description,Complaint ID,Complaint Description,Filer(s),Filer Type,Environmental Category,Project Company,Project Number,Project Status,IFI Support Type,Financial Institution,Money,Project Loan Amount,Sector,Project Approval Date,Issues,Complaint Status,Date Filed (YYYY-DD-MM),Registration Start Date (YYYY-DD-MM),Registration End Date (YYYY-DD-MM),Registered? (Y/N),"If no registration, why?",Eligibility Start Date (YYYY-DD-MM),Eligibility End Date (YYYY-DD-MM),Eligible (Y/N),"If not eligibile, why?",Dispute Resolution Start Date,Dispute Resolution End Date,"If no DR, why?",Consultation and disclosure Review Start Date,Consultation and disclosure Review End Date,"If no CR, why?",Consultation and disclosure report published? (Y/N),Non-Consultation and disclosure Found (Y/N),Monitoring Start Date,Monitoring End Date,Date Closed,Project Hyperlink,Complaint Hyperlink,Documents
EIB,CM,29,2009,Poland,Failure to Reply,,SG/A/2009/01,Alleged failure to reply,CEE Bankwatch Network,International CSO,,,,,,,,,,,Consultation and disclosure,Closed,1/30/09,1/30/09,1/30/09,,,3/5/09,3/5/09,,,,,,,,,,No,3/12/09,3/12/09,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-a-2009-01-failure-to-reply.htm,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/24/PR,Project impacts - public consultation,Confidential,Unknown,,,,,,,,,Extractives,,Consultation and disclosure ,Closed without Output,7/3/17,7/3/17,7/7/17,,,7/14/17,9/14/17,No,Forwarded to other body within bank; Mechanism forwarded complaint to management,,,,,,,,No,,,9/14/17,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-24-pr-trans-adriatic-pipeline.htm,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/25/PR,Expropriation and clarifications,Confidential,Unknown,,,,,,,,,Extractives,,Consultation and disclosure; Displacement (physical and/or economic),Closed without Output,7/3/17,7/3/17,7/7/17,,,7/14/17,9/11/17,No,Forwarded to other body within bank; Mechanism forwarded complaint to management,,,,,,,,No,,,9/11/17,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-25-pr-trans-adriatic-pipeline.htm,
ADB,CRP,25,2017,Georgia,Nenskra Hydropower Project,"ADB is considering financing construction, operation, and maintenance of a conventional reservoir-type hydropower plant, with an installed capacity of 280 megawatts (MW), located in the Nenskra and Nakra valleys of northwestern Georgia",2017/4,,Svan (ethnic subgroup),,,,49223-001,,,,0,,Energy,,Consultation and disclosure; Other environmental; Other; Other community health and safety issues,,12/7/17,,,,,,,,,,,,,,,,,,,,https://www.adb.org/projects/49223-001/main#project-pds,"www.compliance.adb.org/dir0035p.nsf/attachments/GEO Nenskra HPP Project - Complaint- For Web.pdf/$FILE/GEO Nenskra HPP Project - Complaint- For Web.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Nenskra-Report of BCRC & CRP Eligibility Report-21March2018.pdf/$FILE/GEO-Nenskra-Report of BCRC & CRP Eligibility Report-21March2018.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Nenskra-Report of BCRC & CRP Eligibility Report-21March2018 (Georgian).pdf/$FILE/GEO-Nenskra-Report of BCRC & CRP Eligibility Report-21March2018 (Georgian).pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO Nenskra-BoardDecision-21March2018.pdf/$FILE/GEO Nenskra-BoardDecision-21March2018.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO Nenskra-BoardDecision-21March2018 (Georgian).pdf/$FILE/GEO Nenskra-BoardDecision-21March2018 (Georgian).pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO Nenskra CRP Eligibility report-8Feb2018.pdf/$FILE/GEO Nenskra CRP Eligibility report-8Feb2018.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Nenskra-CRP Eligibility Report-21March2018 (Georgian).pdf/$FILE/GEO-Nenskra-CRP Eligibility Report-21March2018 (Georgian).pdf",http://compliance.adb.org/dir0035p.nsf/alldocs/JABM-ATX46V?OpenDocument
ADB,CRP,25,2018,Georgia,Sustainable Urban Transport Investment Program - Tranche 3 ,ADB is helping Georgia improve the transport system and infrastructure in urban areas. The third project under the program will construct a 6.8-kilometer section of the Tbilisi-Rustavi Urban Road Link and undertake the second phase of the Anaklia Coastal Improvement. This project will improve the urban environment and strengthen economic and tourism development and regional integration.,2018/1,,Confidential,,,,,,Loan 3063,,0,,Infrastructure,,Consultation and disclosure; Other; Other community health and safety issues; Property damage,,6/21/18,,,,,,,,,,,,,,,,,,,,http://www.adb.org/projects/42414-043/main,www.compliance.adb.org/dir0035p.nsf/attachments/GEO SUTIP3-2018-Complaint (English translation)- FOR WEB.pdf/$FILE/GEO SUTIP3-2018-Complaint (English translation)- FOR WEB.pdf,http://compliance.adb.org/dir0035p.nsf/alldocs/JABM-AZY5CQ?OpenDocument
AfDB,IRM,28,2009,Ethiopia,Gibe III Hydropower Project,"1870 MW power plant located within the Gibe - Omo River Basin and intended to produce 6,400 Gwh of firm energy per year.",RQ 2009/1b,,"Anuak Justice Council, the Bank Information Center, Campagna per la Riforma della Banca Mondiale, and the International Rivers",,A,,,,,,0,,Energy,,Consultation and disclosure; Other environmental; Indigenous peoples; Cultural heritage; Livelihoods,,5-May-09,22-Jul-09,27-Aug-09,3-Nov-10,5-Jan-11,,,,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq-20091b-ethiopia/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Request%20Register%20%282011%2001%2005%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Notice%20of%20Registeration%20Gibe%20III%20-%20RQ%202009-1b%20%282009%2007%2022%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/GIBI%20III%20Report%20by%20Director%20CRMU%20on%20eligiblity%20and%20compliance%20review%20with%20annexes%20%282010%2010%2003%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Report%20of%20the%20Chairperson%20of%20the%20IRM%20Roster%20%28English%202010%2010%2020%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf",,
AfDB,IRM,28,2009,Ethiopia,Gibe III Hydropower Project,"1870 MW power plant located within the Gibe - Omo River Basin and intended to produce 6,400 Gwh of firm energy per year.",RQ 2009/1b,,"Anuak Justice Council, the Bank Information Center, Campagna per la Riforma della Banca Mondiale, and the International Rivers",,A,,,,,,0,,Energy,,Consultation and disclosure; Other environmental; Indigenous peoples; Cultural heritage; Livelihoods,,5-May-09,22-Jul-09,27-Aug-09,,,3-Nov-10,5-Jan-11,,,,,,,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq-20091b-ethiopia/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Request%20Register%20%282011%2001%2005%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Notice%20of%20Registeration%20Gibe%20III%20-%20RQ%202009-1b%20%282009%2007%2022%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/GIBI%20III%20Report%20by%20Director%20CRMU%20on%20eligiblity%20and%20compliance%20review%20with%20annexes%20%282010%2010%2003%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Generic-Documents/Report%20of%20the%20Chairperson%20of%20the%20IRM%20Roster%20%28English%202010%2010%2020%29.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf"
WB,IP,23,2016,Columbia,Rio Bogota Environmental Recuperation and Flood Control Project,,108,,"The Requesters are the residents of UPZ 72 community from the locality 10 of Engativa in Bogota, who have asked for confidentiality.",,A,,,,,IBRD,250000000,US$ 250.00 million,,"['Other Public Administration', 'Other Transportation', 'Sanitation', 'Public Administration - Water, Sanitation and Waste Management', 'Other Water Supply, Sanitation and Waste Management']",Consultation and disclosure; Other community health and safety issues; Other environmental; Pollution; Other community health and safety issues,Closed,,,,,,,,,,,,,,,,,,,,,,,
WB,IP,23,2016,Armenia,Irrigation System Enhancement Project (First Request),,106,,"The Request was submitted by Goght community members affected by the Armenia Irrigation System Enhancement Project, specifically the Gegardalich Gravity Irrigation Scheme.",,B,,,,,IRBD,30000000,US$ 30.00 million,,"['Irrigation and Drainage', 'Public Administration - AgriCultural heritage, Fishing & Forestry']",Consultation and disclosure; Water,Closed,,,,,,,,,,,,,,,,,,,,,,,
IFC,CAO,21,2001,Jordan,Jordan Gateway Projects Co.,"The Jordan Gateway Project was intended to develop, construct and operate an industrial estate including the development of infrastructure, offices and factories for rent. The project covered approximately 65 hectares located at the Israeli-Jordanian border along the Jordan River. ",103,,Local residents,,A,Jordan Gateway Projects Co.,10112,,,IFC,10000000,$10 million (Loan),Global Manufacturing & Services,,Consultation and disclosure; Displacement (physical and/or economic); Labor; Due diligence; Human rights ,Closed,1-Jan-01,,,,,1-Jan-01,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=103,
IFC,CAO,21,2001,Jordan,Jordan Gateway Projects Co.,"The Jordan Gateway Project was intended to develop, construct and operate an industrial estate including the development of infrastructure, offices and factories for rent. The project covered approximately 65 hectares located at the Israeli-Jordanian border along the Jordan River. ",103,,Local residents,,A,Jordan Gateway Projects Co.,10112,,,IFC,0,,,,Consultation and disclosure; Displacement (physical and/or economic); Labor; Due diligence; Human rights ,Closed,1-Jan-01,,,1-Jan-01,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=103,,,
IFC,CAO,21,2002,India,CIFI,"Chemplast Sanmar Limited (CSL) is part of the Sanmar Group of companies which proposed to locate a new plant on 100 acres of land of which 80 acres have been allotted by the State Industrial Promotion Corporation of Tamil Nadu (SIPCOT). According to IFC, the company selected the SIPCOT industrial area in Cuddalore because the land was barren, uninhabited, and unutilized.  The company applied to IFC for a loan to support the project.",96,,Corpwatch India and Cuddalore District Consumer Federation Council,,A,Chemplast Sanmar Limited,10492,,,IFC,30000000,$10 million (Equity) & $20 million (A loan),Extractives,,Consultation and disclosure; Displacement (physical and/or economic); Consultation and disclosure; Pollution,Closed,1-Jun-02,,,,,1-Jun-02,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=96,
IFC,CAO,21,2002,India,CIFI,"Chemplast Sanmar Limited (CSL) is part of the Sanmar Group of companies which proposed to locate a new plant on 100 acres of land of which 80 acres have been allotted by the State Industrial Promotion Corporation of Tamil Nadu (SIPCOT). According to IFC, the company selected the SIPCOT industrial area in Cuddalore because the land was barren, uninhabited, and unutilized.  The company applied to IFC for a loan to support the project.",96,,Corpwatch India and Cuddalore District Consumer Federation Council,,A,Chemplast Sanmar Limited,10492,,,IFC,0,,,,Consultation and disclosure; Displacement (physical and/or economic); Consultation and disclosure; Pollution,Closed,1-Jun-02,,,1-Jun-02,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=96,,,
IFC,CAO,21,2011,Panama,Plato-01 Bishkek,"IFCs Panama Canal project is designed to increase the capacity and efficiency of the Panama Canal. The project includes construction of a third set of locks, including two lock facilities with water-saving basins at the Atlantic and Pacific ends of the Canal; the deepening of the Pacific and Atlantic entrances of the Canal; and the deepening and widening of the navigational channels of the Gatn Lake, the deepening of the Culebra Cut, and the elevation of Gatn Lakes maximum operational level.  IFCs $500 million investment (of a total $5.25 billion project costs) was approved in November 2008 and is pending disbursement.",174,,Gatún Lake Defense Committee,,A,La Autoridad del Canal de Panama,26665,,,IFC,500000000,$500 million A Loan,Infrastructure,,Consultation and disclosure; Pollution; Other environmental,Closed,13-May-11,,,,,13-May-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=174,http://www.cao-ombudsman.org/cases/document-links/links-174.aspx
IFC,CAO,21,2011,Panama,Plato-01 Bishkek,"IFCs Panama Canal project is designed to increase the capacity and efficiency of the Panama Canal. The project includes construction of a third set of locks, including two lock facilities with water-saving basins at the Atlantic and Pacific ends of the Canal; the deepening of the Pacific and Atlantic entrances of the Canal; and the deepening and widening of the navigational channels of the Gatn Lake, the deepening of the Culebra Cut, and the elevation of Gatn Lakes maximum operational level.  IFCs $500 million investment (of a total $5.25 billion project costs) was approved in November 2008 and is pending disbursement.",174,,Gatún Lake Defense Committee,,A,La Autoridad del Canal de Panama,26665,,,IFC,0,,,,Consultation and disclosure; Pollution; Other environmental,Closed,13-May-11,,,13-May-11,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=174,http://www.cao-ombudsman.org/cases/document-links/links-174.aspx,,
